conversietabellen van types IRtc									
T[degC]	K-98.6	K-50	K-80	K-140	K-180	K-240	K-280	K-340	K-440
-17.77777778	-0.152784171	-0.374953691	-0.237991017	0.05838955	0.16573087	0.255981028	0.380526656	0.452129947	0.543593217
-15	-0.103462171	-0.316154916	-0.185034468	0.098703807	0.201466419	0.287866901	0.40709996	0.475648969	0.563210818
-12.22222222	-0.050769989	-0.25333841	-0.128459387	0.141772745	0.239643784	0.321931542	0.435489023	0.500775052	0.584168895
-9.444444444	0.005339028	-0.186448554	-0.068215684	0.187634497	0.280296768	0.358205112	0.465718981	0.52753044	0.606486002
-6.666666667	0.064911525	-0.115429741	-0.004253275	0.23632719	0.323459168	0.396717766	0.497814965	0.555937376	0.630180692
-3.888888889	0.127994129	-0.040226387	0.0634779	0.287888934	0.369164765	0.437499647	0.531802095	0.586018095	0.655271512
-1.111111111	0.194633431	0.039217053	0.135027868	0.342357811	0.417447316	0.480580875	0.567705474	0.617794812	0.681776992
1.666666667	0.264875974	0.122956063	0.210446599	0.399771865	0.468340544	0.52599154	0.605550178	0.651289722	0.709715644
4.444444444	0.338768231	0.211046048	0.289783994	0.460169081	0.52187812	0.573761687	0.645361245	0.686524986	0.739105954
7.222222222	0.416356588	0.303542305	0.373089855	0.523587373	0.578093653	0.623921302	0.687163667	0.723522722	0.769966372
10	0.497687321	0.4005	0.460413868	0.590064565	0.63702067	0.676500302	0.730982375	0.762304997	0.802315301
12.77777778	0.582806569	0.501974141	0.551805574	0.659638372	0.698692602	0.731528517	0.776842228	0.802893812	0.836171096
15.55555556	0.671760317	0.608019545	0.647314344	0.732346378	0.763142766	0.789035673	0.824768002	0.845311095	0.871552046
18.33333333	0.764594364	0.718690811	0.746989352	0.808226019	0.830404344	0.849051379	0.874784372	0.889578685	0.908476367
21.11111111	0.861354298	0.83404229	0.850879548	0.887314557	0.900510368	0.911605108	0.926915899	0.93571832	0.946962192
23.88888889	0.962085473	0.954128047	0.959033627	0.969649063	0.973493698	0.97672618	0.981187019	0.983751628	0.98702756
26.66666667	1.066832978	1.079001836	1.0715	1.055266392	1.049387002	1.044443744	1.037622025	1.033700109	1.028690405
29.44444444	1.175641612	1.208717062	1.188326767	1.144203159	1.128222738	1.114786761	1.096245052	1.085585124	1.071968545
32.22222222	1.288555852	1.34332675	1.309561683	1.236495722	1.210033134	1.187783988	1.157080064	1.139427884	1.116879672
35	1.405619833	1.482883513	1.435252136	1.332180151	1.294850164	1.263463953	1.22015084	1.195249433	1.163441339
37.77777778	1.526877312	1.627439518	1.565445107	1.431292216	1.382705533	1.341854948	1.285480955	1.253070637	1.211670952
40.55555556	1.652371649	1.777046454	1.70018715	1.533867354	1.473630657	1.422985003	1.353093769	1.312912171	1.261585755
43.33333333	1.782145772	1.931755498	1.839524358	1.639940656	1.567656638	1.50688187	1.423012411	1.374794507	1.313202823
46.11111111	1.916242157	2.091617288	1.983502336	1.74954684	1.664814253	1.593573009	1.495259767	1.438737898	1.366539052
48.88888889	2.054702798	2.256681885	2.132166174	1.862720229	1.765133926	1.683085568	1.56985846	1.504762369	1.421611144
51.66666667	2.197569182	2.42699875	2.285560415	1.979494735	1.868645718	1.77544637	1.646830844	1.572887703	1.4784356
54.44444444	2.344882267	2.602616709	2.443729035	2.099903835	1.975379304	1.870681891	1.726198985	1.643133432	1.537028711
57.22222222	2.496682454	2.783583925	2.606715412	2.223980551	2.085363954	1.968818251	1.80798465	1.715518818	1.597406547
